Mean,Median,STD,Max,Min,Mode,Skewness,Kurtosis,Mean Abs Val,Class
0.139568556,0.451177914,12.6670763,41.33100145,-85.54227493,-85.54227493,-0.725867369,6.682218005,9.11202496,1
-0.111414533,-0.014169428,10.78357338,52.17543414,-51.79031356,-51.79031356,-0.229473069,4.928375651,8.021573864,1
-0.036283206,0.440004473,10.10177214,41.9813665,-49.44924632,-49.44924632,-0.474461466,5.130473742,7.666947457,1
-0.003779694,0.116959028,11.28645776,59.14475433,-42.39559465,-42.39559465,0.073772129,4.224760392,8.663862343,1
0.006170205,-0.094122392,12.89037244,79.80933726,-39.8331632,-39.8331632,0.689351997,6.443836951,9.464364668,1
-0.072842902,-0.130351816,13.92944847,73.18455817,-95.20345987,-95.20345987,-0.081907305,6.476628868,10.17828083,1
0.100647602,-0.103503991,12.84169245,104.2293672,-107.1704888,-107.1704888,0.073831184,15.17758281,8.528044696,1
0.01778359,0.571809828,15.61233722,86.17754498,-53.6055226,-53.6055226,0.435301378,6.439598887,11.08788654,1
-0.0686032,0.128060773,11.84168361,62.35116361,-64.56963656,-64.56963656,-0.168672905,4.871500224,8.802204723,1
0.039873019,-0.095364155,7.279960909,24.15188385,-25.07923919,-25.07923919,0.036164116,3.086260319,5.76295919,1
0.047506317,0.376517029,15.24752692,59.08093204,-106.3618216,-106.3618216,-0.796157601,7.0495545,11.13901176,1
-0.034307214,-0.095638157,13.03429355,76.31717105,-68.99811345,-68.99811345,0.599178632,7.308573555,9.283887435,1
0.000980597,0.676560398,24.85141092,119.5983589,-218.8570439,-218.8570439,-1.084769013,17.06066832,14.77614614,1
0.02967717,-0.002030518,8.442473927,32.79633759,-35.2809713,-35.2809713,-0.04022846,3.691319028,6.59008456,1
0.032222196,0.106877933,8.241454969,27.45040942,-41.20205174,-41.20205174,-0.183407114,3.404762076,6.520894539,1
-0.110028522,0.061598307,8.95457674,38.72773865,-41.88285667,-41.88285667,-0.015527225,3.987711022,6.913683718,1
0.017390704,0.653510322,13.84566595,71.45881327,-121.9469687,-121.9469687,-0.604712361,8.267059922,9.925513346,1
0.009643178,-0.135249122,12.04931653,59.14263663,-60.74566481,-60.74566481,0.211205233,5.115595501,8.867589535,1
-0.085910383,-0.050448085,8.725485889,32.65794546,-34.60721438,-34.60721438,0.002078626,3.158873927,6.925471628,1
0.047121486,0.144469019,9.270722134,33.36255927,-34.94759726,-34.94759726,-0.105831352,3.19337634,7.315623099,1
0.085605757,0.046823452,9.613698536,40.71082895,-33.03524931,-33.03524931,0.003485645,3.330150198,7.575492564,1
-0.047468147,0.0247542,11.19887054,67.39029503,-74.52281224,-74.52281224,0.145746422,7.096055597,8.18036485,1
0.079484104,0.118895324,9.992548714,53.30316354,-38.11278502,-38.11278502,0.201265994,4.338561029,7.604385499,1
-0.003084825,0.202045264,8.874886312,35.41985316,-60.30912431,-60.30912431,-0.271733024,4.7931648,6.744538242,1
0.037910086,0.426598059,9.797664747,45.44183264,-42.86394329,-42.86394329,-0.206014802,5.365400849,7.264152396,1
0.012065032,0.444482507,8.669631827,25.44409266,-47.97983108,-47.97983108,-0.505169316,4.360532284,6.746604411,1
0.041315665,0.285653741,12.35732846,96.49798567,-63.90831521,-63.90831521,0.052072869,8.171975755,8.535344379,1
-0.004906139,0.393154371,12.73909216,55.61125298,-89.7780531,-89.7780531,-0.543276341,6.441882878,9.227689988,1
-0.071183577,0.016660303,8.439571632,29.81188328,-38.32939276,-38.32939276,-0.126669806,3.228949745,6.679062019,1
0.032123622,0.321481962,9.07595348,37.69932567,-71.7260072,-71.7260072,-0.524093219,5.543293313,6.943115928,1
-0.125424619,-0.100524524,8.188546033,41.64281219,-38.79438971,-38.79438971,-0.01374444,4.228848533,6.340580432,1
0.514852688,-0.106865954,16.91720887,102.2124528,-59.75468489,-59.75468489,0.623609502,6.945477619,11.87448577,1
-0.450096002,0.863729029,27.96191044,116.2818913,-165.9199916,-165.9199916,-1.220690986,9.725554987,17.95742114,1
0.547313102,0.348178808,19.19716971,70.26200364,-78.57449997,-78.57449997,0.085558153,3.574097942,14.76829203,1
